word,LNC1F-SUM,LNC1F-MIN,LNC1F-MAX,LNC2F-SUM,LNC2F-MIN,LNC2F-MAX,RLNC2F-SUM,RLNC2F-MIN,RLNC2F-MAX,None
entwine,13.832222239110877,0.8560098634958092,0.9839089088956088,13.787022273143677,0.8560098634958092,0.9839089088956088,7.8250378459637595,0.38677544660435226,0.7376495525342215,
treaty,13.15439021299798,0.7853403441840615,0.9423209302038981,11.908321117232488,0.6440168662145883,0.914191553852463,7.326859501579073,0.26900483219898763,0.6698399332445572,
breakfast,14.07200689758846,0.8387034522202477,0.9893344051810332,13.74060418035803,0.7891768557033968,0.9847201276913429,5.20334449087973,0.04063986330290226,0.7726242619657221,
yeast,13.728364898297695,0.829096153797185,0.9669731062731719,12.740525739162921,0.6852089010745925,0.9541906622448898,7.0452355143886,0.1723799214099473,0.7541498859110932,
marksman,13.162427842147,0.74957704502371,0.9514948207334533,12.239236032417669,0.6428508973286661,0.9468526833529758,5.311445376825938,0.1210875927164019,0.5628988086072604,
grope,12.966865387436968,0.6545807696740676,0.9754800930950095,12.775062967967507,0.6504152811440168,0.9659164072369387,6.123417186678499,0.11439292181803729,0.6543340226887858,
ton,13.187355948968785,0.7225455550342654,0.9693950047614939,12.17397209203115,0.5919156618450899,0.9380327891734465,5.623049587581445,0.04904007110474862,0.6712658255801564,
daunt,12.911917663315041,0.6433602234824821,0.9720689358226369,12.82770676534202,0.6463865571423405,0.9720689358226369,4.9885527124136875,0.09540412943484566,0.5777957154500506,
conduct,13.113158794725402,0.6754285598002635,0.9708363311689426,12.832037598825798,0.6130727318080943,0.9708363311689426,6.9260931411476925,0.16605277095181792,0.6567688785629578,
bastard,9.869364833020159,0.3305656952618068,0.9590467795216698,9.924705231471805,0.43561281565839116,0.9590467795216698,5.275972090861662,0.05441098012438206,0.6460061440198792,
unconsciousness,13.668774173868258,0.8035973289894326,0.9853330894687821,13.631095428482496,0.8035973289894326,0.9853330894687821,5.080911717545826,0.030502457577553876,0.7416864841983541,
group,9.024216415557921,0.04616280115862592,0.9429873801134193,8.185492156195673,0.07148791506707375,0.9200249633762603,2.1626251636757075,-0.452771524306411,0.5857958571338127,
waste,11.710667190778166,0.46356928345524384,0.9604075637462121,10.858523149607672,0.35968525466657564,0.9604075637462121,4.581685782455855,0.023989056268753473,0.5355897747478445,
respondent,11.052931526734882,0.4822622457005261,0.9385059133238406,10.379202446760631,0.4978516216169857,0.9250710278259558,5.807376683234821,0.12717427736847453,0.6544885827640374,
risk,12.60205031902565,0.5818603299321126,0.9799497615663343,12.344531639797824,0.5445141088138588,0.9799497615663343,4.317859413392832,-0.03840489922149781,0.5690795515654913,
absent,10.551363160704403,0.39669886161626344,0.9509532322624852,10.146238503332588,0.3770681431799241,0.8979025238885886,4.038362985076202,-0.20489641412888449,0.6450108049446839,
humility,14.22843379262017,0.8655609743465005,0.9950638529544824,14.18982283929511,0.8655609743465005,0.9950638529544824,5.612445896477082,0.14278813968533377,0.5405014754514917,
surmise,13.257619736679201,0.7377171925155289,0.9669679920855464,12.926202387230163,0.6830780718190553,0.9577015423019821,3.981401266212572,0.037486226689380064,0.4348642698831855,
circuit,9.379023779462013,0.20822586845990987,0.9216894073905897,7.191528576608086,0.16038782421228892,0.8478502583586807,3.879881800975213,-0.11338897473083875,0.5048057057387209,
complicate,13.498278351936156,0.7934231108360574,0.9819668728752651,13.326533289677428,0.7611546146934229,0.9819668728752651,5.950658296484287,0.1635221875788161,0.6473395690670752,
conjure,13.633956969307938,0.7642950854666832,0.9773748673319953,13.420984477144367,0.7274346636180035,0.9773748673319953,5.776553818620536,0.20942040659263783,0.6876875902537697,
solve,13.024002513786085,0.7771139077343364,0.9534362431837352,12.324355581952123,0.7069444594204173,0.9534362431837352,4.870476403947734,-0.15216238314360875,0.522626589352852,
orphan,13.967690602627766,0.8228169502874845,0.9787061050436366,13.716088411087924,0.7473690546794699,0.9787061050436366,4.439442311004983,-0.01886562981045281,0.5511726667475519,
beef,14.351282034548806,0.8891180668277401,0.9887629566022927,13.900726499346355,0.8620216553922178,0.9791111647755004,6.933910684379585,0.18005172786451307,0.6392775892008079,
mediator,10.484246089407447,0.3856204529042131,0.9254231287400899,9.7001997275322,0.3411889944261337,0.9124938991667046,5.274494706525301,0.1389125341924573,0.5600442196340791,
indispensable,13.670409187056523,0.7166292787558496,0.9894056950257596,13.530225273262158,0.7166292787558496,0.9894056950257596,6.2600294507397285,0.1478738977800127,0.6848505453734346,
sink,13.577851681291598,0.7525304862360823,0.9823430209589721,13.395566610627549,0.7196702901259411,0.9823430209589721,4.989259742659371,0.11361427420554282,0.5929284297247376,
fascinating,13.141800716678759,0.6651982008076414,0.9880463721370011,13.081133101647572,0.6504147804297485,0.9880463721370011,5.413077619318745,0.15774808607274737,0.6344994410511331,
audacity,13.951383994638288,0.8381349975156572,0.9905352734683375,13.912684957427707,0.822154662916175,0.9905352734683376,4.903985059290468,-0.043297959022397414,0.5846164391026103,
aim,12.295982896463771,0.5875312802823657,0.9545812891517176,11.367935786907667,0.4410563603200832,0.9489045232595146,6.3803125070094575,0.09349815782162596,0.674551814297198,
sickly,13.888865996713706,0.7867674759783222,0.9890612225748091,13.682097065058187,0.7660309370758506,0.9809931111156901,6.6399295809959185,0.26489864108964667,0.5844298361563375,
