Word	OLD20	len
meaningless	76.0	11
controllable	86.0	12
reinstatement	86.0	13
sword	36.0	5
shield	38.0	6
inform	41.0	6
unexplainable	77.0	13
sneaker	35.0	7
chlorophyll	108.0	11
successor	60.0	9
antiwar	60.0	7
ungovernable	83.0	12
brewery	54.0	7
drawstring	74.0	10
loudspeaker	94.0	11
joker	31.0	5
itemize	56.0	7
pebble	38.0	6
macadamia	72.0	9
triangulation	71.0	13
chain	37.0	5
delivery	53.0	8
pea	20.0	3
single	28.0	6
stirrup	52.0	7
approach	63.0	8
manslaughter	90.0	12
southwesterly	93.0	13
destruct	52.0	8
opening	42.0	7
curdle	37.0	6
butter	25.0	6
nonporous	65.0	9
decorum	57.0	7
cutlet	38.0	6
gadgetry	66.0	8
stopwatch	74.0	9
beachside	68.0	9
semiprivate	95.0	11
exclusiveness	82.0	13
cutout	42.0	6
voodoo	54.0	6
flap	26.0	4
aghast	56.0	6
fraternize	67.0	10
sectarian	68.0	9
police	36.0	6
keel	28.0	4
permissiveness	92.0	14
schoolbag	58.0	9
thrill	38.0	6
roulette	58.0	8
scam	29.0	4
native	42.0	6
adorable	52.0	8
madam	39.0	5
tiara	39.0	5
franchisee	69.0	10
posy	25.0	4
understanding	66.0	13
viewership	84.0	10
putdown	51.0	7
arcade	42.0	6
psychoanalytic	80.0	14
ocelot	58.0	6
subcontinent	90.0	12
pariah	38.0	6
synonym	67.0	7
incompetent	67.0	11
ours	25.0	4
deference	49.0	9
roundtable	72.0	10
track	28.0	5
cannibalistic	82.0	13
naughtiness	74.0	11
subtotal	70.0	8
joyless	52.0	7
uncollected	66.0	11
grapefruit	91.0	10
unproductive	80.0	12
irate	33.0	5
coot	20.0	4
fornication	57.0	11
premonition	60.0	11
wordplay	64.0	8
justice	51.0	7
solvable	51.0	8
mathematical	79.0	12
sturgeon	60.0	8
burnout	51.0	7
granddad	55.0	8
backwash	53.0	8
chambered	52.0	9
peck	23.0	4
facilitate	62.0	10
pinhead	47.0	7
volt	31.0	4
handicap	58.0	8
interviewee	61.0	11
heinous	54.0	7
bookend	41.0	7
snoozer	41.0	7
herbivorous	87.0	11
mortgage	51.0	8
unauthorized	78.0	12
glade	31.0	5
cryptology	73.0	10
gramophone	73.0	10
cousin	39.0	6
iridescent	77.0	10
contusion	49.0	9
nightlife	66.0	9
jellyroll	91.0	9
wakefulness	65.0	11
question	55.0	8
sublease	55.0	8
demand	38.0	6
until	37.0	5
meteoric	56.0	8
baggie	37.0	6
participation	68.0	13
sentry	38.0	6
compliance	73.0	10
see	20.0	3
kite	23.0	4
commonplace	91.0	11
hearty	37.0	6
irrevocability	100.0	14
hunting	34.0	7
passivity	67.0	9
passage	41.0	7
bootlegger	68.0	10
battleground	94.0	12
shatterproof	98.0	12
masterly	47.0	8
striped	34.0	7
origin	52.0	6
knapsack	72.0	8
nonfat	54.0	6
bust	21.0	4
showboating	73.0	11
