,word,slice_1800,slice_1840,slice_1880,slice_1920,slice_1960,slice_2000
5466,sunshine,590,3166,3041,1648,1041,353
5467,exhilarate,61,234,231,225,346,83
5468,mourner,221,484,292,247,388,99
5469,sear,98,147,156,284,374,178
5470,sober,668,1749,1931,1997,1397,259
5471,workshop,61,454,520,514,1110,411
5472,plight,132,344,507,734,706,144
5473,sow,299,1100,1658,927,765,155
5474,harmless,331,860,1032,908,887,247
5475,dismiss,558,1673,1994,2382,2837,720
5476,pun,67,177,179,178,266,82
5477,battle,3118,9817,9872,10429,9136,2915
5478,month,3270,13322,19152,33076,36328,11844
5479,request,1992,4605,4725,6294,6466,1558
5480,convict,401,1176,1923,2340,2219,473
5481,mince,104,216,270,258,403,296
5482,utterance,514,2071,2002,807,468,60
5483,knit,172,1414,782,921,882,338
5484,sheik,30,114,147,404,240,75
5485,wanton,294,427,368,235,187,49
5486,drunkard,124,431,417,379,155,26
5487,heretical,30,129,81,87,106,33
5488,sub,280,744,1141,1516,1305,343
5489,count,2923,8990,10582,10251,10307,3292
5490,pupil,1189,2630,3751,2796,1756,260
5491,graduate,189,1123,2443,3509,5295,1858
5492,convent,564,943,1162,520,410,153
5493,nook,132,699,560,276,206,106
5494,propel,68,212,299,489,742,296
5495,abstinence,119,285,187,104,131,107
5496,teacher,1375,4970,8804,8317,11788,4675
5497,meantime,442,1640,2247,2130,1386,359
5498,puppy,82,213,365,569,600,473
5499,injunction,244,628,706,1122,660,97
5500,attorney,429,1406,3586,7840,6653,1788
5501,species,257,788,490,341,468,197
5502,preparation,1284,3734,3840,3490,2598,624
5503,glaze,87,309,369,549,795,434
5504,satisfactory,674,2043,2768,2857,1151,92
5505,rugged,379,812,757,817,635,229
5506,rebellious,145,398,464,402,413,111
5507,eccentricity,79,345,354,182,208,55
5508,harp,460,886,828,540,706,86
5509,bonus,32,208,243,1317,928,440
5510,recapture,39,119,230,545,371,83
5511,throw,6890,19131,20700,19450,17639,5376
5512,gorgeous,322,1148,1070,647,712,531
5513,fortification,181,430,494,323,179,49
5514,basket,438,2713,3333,2875,2596,803
5515,ostentatious,79,161,134,77,102,29
5516,privilege,1671,4277,3892,3045,1939,411
5517,squander,73,210,326,194,229,87
5518,endowment,214,686,629,455,596,87
5519,caress,248,1107,1351,805,776,287
5520,easel,27,163,296,187,237,79
5521,frown,792,1756,2362,3282,3295,1338
5522,endanger,256,553,474,695,1101,284
5523,sum,1793,5358,5685,4887,3320,696
5524,inherit,278,1159,1534,1541,1565,573
5525,courier,283,565,441,457,500,118
5526,truck,29,197,1055,6564,8383,2907
5527,merge,104,349,533,930,985,297
5528,compliment,643,1865,1854,1364,1072,343
5529,obedient,287,691,602,305,319,91
5530,bower,384,1002,504,280,144,36
5531,able,3924,12146,17440,21275,20820,5715
5532,chaplain,149,568,548,679,574,142
5533,skepticism,66,247,221,330,567,148
5534,disagreement,44,196,333,735,894,154
5535,disorderly,80,221,361,327,206,30
5536,priesthood,122,444,242,177,236,51
5537,complete,2662,8523,11243,15081,12049,3391
5538,smoking,186,702,1234,1352,1951,687
5539,graft,81,517,584,678,392,107
5540,donation,100,278,195,275,635,402
5541,deviate,103,146,109,135,183,31
5542,glacier,37,352,660,753,423,198
5543,harsh,469,1411,1379,1646,2299,725
5544,cherish,1181,2480,1642,1004,744,226
5545,stainless,62,164,99,149,396,235
5546,exist,3930,10813,10992,11995,11636,2729
5547,shed,1307,3082,2595,2677,2677,974
5548,legitimacy,34,91,49,78,362,106
5549,encouragement,723,1355,1302,1048,850,225
5550,sage,459,1325,979,720,621,443
5551,dose,146,480,703,1009,1637,552
5552,understanding,1131,2578,3482,5327,4646,1309
5553,unsolicited,33,38,41,63,81,65
5554,utility,511,752,777,2628,2464,835
5555,pry,137,360,454,625,760,283
5556,tribulation,109,204,147,110,104,47
5557,butler,1112,1018,2098,2676,972,481
5558,rudeness,140,370,287,168,184,42
5559,injury,1148,2321,2249,1937,2722,1455
5560,richness,203,508,486,355,307,77
5561,infect,116,226,243,466,747,349
5562,feminine,165,947,1479,1315,885,302
5563,exasperated,43,90,67,106,129,55
5564,linen,271,1085,1472,1842,1245,488
