word,J-SUM,J-MIN,J-MAX,RJ-SUM,RJ-MIN,RJ-MAX,LNC1-SUM,LNC1F-MIN,LNC1F-MAX,LNC2-SUM,LNC2F-MIN,LNC2F-MAX,RLNC2-SUM,RLNC2F-MIN,RLNC2F-MAX,C-SUM,C-MIN,C-MAX,RC-SUM,R-CMIN,R-CMAX
awed,2.438596513258217,0.06382978723404255,0.35135135135135137,0.8934042497745603,0.0,0.2195121951219512,13.959748350056984,0.8154755510214207,0.9884870818811708,13.72443849253919,0.7910561449457161,0.9884870818811708,5.897332112613406,0.06635848183498116,0.6881761205183482,9.55528199672699,0.4323673844337464,0.8394117951393127,5.923040725290775,0.11066248267889024,0.6775738596916199
awful,2.7547610370601596,0.06382978723404255,0.4705882352941176,1.2724789334433804,0.0,0.3157894736842105,13.138738176712518,0.626244500936313,0.9893786415842236,12.844608761557375,0.6088028594856129,0.9893786415842236,6.771371786526721,0.1910806884868672,0.7603119291736781,9.322233349084852,0.3481519818305969,0.8871105909347534,6.081926837563515,0.23575888574123385,0.9177921414375304
awhile,2.517246451652972,0.08695652173913042,0.42857142857142855,0.9660590976502169,0.0,0.25,13.572675194634204,0.8172997382249423,0.9616292474891276,11.931909120447429,0.6268623493349424,0.9469478910753192,8.124405467801699,0.2929256695733597,0.7897161441940447,10.4843607544899,0.5156945586204529,0.864543616771698,5.420772217214108,0.06824576109647751,0.6444768905639648
awkward,3.1077882298935835,0.08695652173913042,0.3888888888888889,1.1277334798795118,0.020408163265306117,0.2195121951219512,13.940188465792316,0.7937205292613055,0.9819877335939192,13.557055203697596,0.7584762259695174,0.9713233147775879,6.956073495541915,0.20601018582233652,0.7396993158421901,11.186352729797363,0.5875952839851379,0.856186032295227,6.353307068347932,0.2840553522109985,0.5875692963600159
awkwardness,1.7456031999978268,0.020408163265306117,0.35135135135135137,0.5989082188533754,0.0,0.1111111111111111,14.050155709890216,0.8530348882179836,0.9812020853115488,13.599146694775436,0.7745345926083217,0.9812020853115488,7.119508406517763,0.2921380815846093,0.6608383489450402,9.516234219074251,0.5006217360496521,0.8026710748672485,6.781383648514748,0.21925406157970428,0.5957435965538025
awning,2.3351291995942702,0.04166666666666666,0.28205128205128205,0.3814503137055007,0.0,0.08695652173913042,14.58024616185502,0.9416788139240336,0.9911796482764266,13.933633491457089,0.8714961528918675,0.9817183384615834,8.790952247519131,0.19630310033822185,0.7807688725161698,11.609277665615082,0.6664152145385742,0.87295001745224,7.35691499710083,0.3437170386314392,0.6406868696212769
awry,0.5272651613837024,0.0,0.19047619047619047,0.4086943077626307,0.0,0.13636363636363635,8.651593874185968,-0.2111045028932728,0.9863429998800912,9.249988495517103,0.12823130058171128,0.9578169538972494,3.6628124098193497,-0.052691728122016716,0.5231384069847628,6.7209494188427925,0.06199527531862259,0.7472501993179321,3.7049381877295673,-0.1861182153224945,0.8254848718643188
ax,2.114639272202297,0.0,0.4705882352941176,0.9134130704474488,0.0,0.2195121951219512,11.816250471658762,0.441165203248356,0.982427016061828,10.891247655879463,0.39032465698883057,0.9608771395608421,6.220242998749884,-0.08723239651091896,0.6966694829442734,8.41986083984375,0.32966455817222595,0.8681444525718689,6.231927037239075,0.13745389878749847,0.7153889536857605
axe,4.030276439107168,0.16279069767441862,0.4705882352941176,2.3826527597632,0.020408163265306117,0.3888888888888889,14.437913371281606,0.9060522959852878,0.9901776922280272,13.717446285072016,0.8486523420185855,0.9729796156862668,7.033333652199564,0.2380291090313015,0.7472963513042373,11.68256425857544,0.6629987955093384,0.9090951085090636,9.782930970191957,0.5263661742210388,0.7841237783432007
axiom,2.254162947568169,0.04166666666666666,0.28205128205128205,0.7954621849613412,0.0,0.16279069767441862,14.337036500024267,0.9053726245776864,0.9922590832700084,13.103274900306255,0.708491597715355,0.973588715107427,7.977653797212162,0.1938676080888323,0.8083797459935771,10.806338042020798,0.4812126457691193,0.8677111268043518,9.596378624439241,0.5337175130844116,0.7773006558418274
